고객번호,계기번호,날짜,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,합계(kWh)
342464719,67190110861,2024.01.01,,,,0.21,,,,0.21,,,,0.17,,,,0.15,,,,0.16,,,,0.36,,,,0.76,,,,1.25,,,,1.07,,,,0.68,,,,0.5,,,,0.65,,,,0.6,,,,0.48,,,,0.48,,,,0.54,,,,0.74,,,,1.2,,,,1.51,,,,1.33,,,,1.4,,,,0.97,,,,0.64,,,,0.41,16.47
342464719,67190110861,2024.01.02,,,,0.21,,,,0.19,,,,0.13,,,,0.14,,,,0.17,,,,0.31,,,,0.89,,,,0.94,,,,0.83,,,,0.75,,,,0.64,,,,0.57,,,,0.48,,,,0.45,,,,0.55,,,,0.55,,,,0.64,,,,1.08,,,,1.28,,,,1.49,,,,1.16,,,,1.1,,,,0.58,,,,0.38,15.51
342464719,67190110861,2024.01.03,,,,0.21,,,,0.17,,,,0.17,,,,0.15,,,,0.19,,,,0.43,,,,0.86,,,,1.26,,,,0.88,,,,0.57,,,,0.48,,,,0.49,,,,0.46,,,,0.45,,,,0.58,,,,0.53,,,,0.65,,,,1.14,,,,1.36,,,,1.52,,,,1.11,,,,1.23,,,,0.72,,,,0.36,15.97
342464719,67190110861,2024.01.04,,,,0.19,,,,0.2,,,,0.16,,,,0.13,,,,0.19,,,,0.32,,,,0.82,,,,0.91,,,,1.05,,,,0.64,,,,0.54,,,,0.46,,,,0.47,,,,0.46,,,,0.57,,,,0.58,,,,0.81,,,,1.16,,,,1.33,,,,1.43,,,,1.38,,,,0.96,,,,0.74,,,,0.4,15.9
342464719,67190110861,2024.01.05,,,,0.21,,,,0.17,,,,0.13,,,,0.12,,,,0.15,,,,0.37,,,,0.8,,,,1.13,,,,1.09,,,,0.59,,,,0.53,,,,0.53,,,,0.48,,,,0.43,,,,0.5,,,,0.5,,,,0.88,,,,1.23,,,,1.67,,,,1.49,,,,1.35,,,,0.9,,,,0.72,,,,0.41,16.38
342464719,67190110861,2024.01.06,,,,0.23,,,,0.2,,,,0.15,,,,0.12,,,,0.17,,,,0.37,,,,1.01,,,,1.17,,,,0.8,,,,0.65,,,,0.54,,,,0.48,,,,0.41,,,,0.48,,,,0.58,,,,0.55,,,,0.76,,,,1.16,,,,1.45,,,,1.59,,,,1.44,,,,0.93,,,,0.63,,,,0.38,16.25
342464719,67190110861,2024.01.07,,,,0.22,,,,0.16,,,,0.16,,,,0.14,,,,0.16,,,,0.36,,,,1.01,,,,0.98,,,,0.89,,,,0.67,,,,0.65,,,,0.52,,,,0.58,,,,0.56,,,,0.51,,,,0.64,,,,0.76,,,,1.23,,,,1.61,,,,1.41,,,,1.14,,,,1.2,,,,0.68,,,,0.37,16.61
342464719,67190110861,2024.01.08,,,,0.19,,,,0.19,,,,0.16,,,,0.12,,,,0.18,,,,0.37,,,,0.9,,,,1.04,,,,1.11,,,,0.62,,,,0.69,,,,0.5,,,,0.52,,,,0.44,,,,0.63,,,,0.66,,,,0.74,,,,1.22,,,,1.69,,,,1.41,,,,1.32,,,,0.94,,,,0.58,,,,0.45,16.67
342464719,67190110861,2024.01.09,,,,0.24,,,,0.18,,,,0.14,,,,0.13,,,,0.19,,,,0.41,,,,0.96,,,,1.14,,,,0.98,,,,0.54,,,,0.49,,,,0.59,,,,0.54,,,,0.39,,,,0.46,,,,0.6,,,,0.62,,,,1.04,,,,1.49,,,,1.53,,,,1.3,,,,0.91,,,,0.73,,,,0.35,15.95
342464719,67190110861,2024.01.10,,,,0.2,,,,0.19,,,,0.15,,,,0.15,,,,0.18,,,,0.38,,,,0.77,,,,1.04,,,,0.88,,,,0.58,,,,0.65,,,,0.48,,,,0.57,,,,0.49,,,,0.56,,,,0.56,,,,0.79,,,,1.17,,,,1.3,,,,1.49,,,,1.19,,,,0.87,,,,0.67,,,,0.35,15.66
